Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,56,110,50
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,56,110,50
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,56,110,50
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,56,110,50
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,58,110,52
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,87,110,79
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,97,110,88
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,102,110,92
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,110,110,100
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,109,110,99
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,78,110,70
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,74,110,67
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,54,110,49
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,54,110,49
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,64,110,58
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,72,110,65
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,78,110,70
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,63,110,57
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,56,110,50
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,78,110,70
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,72,110,65
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,48,110,43
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,96,110,87
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,95,110,86
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,56,110,50
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,56,110,50
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,56,110,50
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,56,110,50
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,56,110,50
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,56,110,50
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,56,110,50
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,76,110,69
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,76,110,69
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,74,110,67
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-27,74,110,67
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-27,74,110,67
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-31,74,110,67
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,62.0,110,56.0
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,66.0,110,60.0
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,71.0,110,64.0
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,77.0,110,70.0
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,63.0,110,57.0
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,84.0,110,76.0
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-28,80.0,110,72.0
Date,Score_system_in_procc,Full_procentage,Day's_procentage
2022-01-29,70.0,110,63.0
